"term","c","cDis"
"park",16623,16623
"cut",16563,16563
"couple",16535,16535
"based",16526,16526
"saying",16499,16499
"leave",16495,16495
"baby",16494,16494
"important",16415,16415
"instead",16409,16409
"ask",16408,16408
"list",16384,16384
"court",16321,16321
"road",16311,16311
"series",16275,16275
"service",16224,16224
"john",16142,16142
"program",16104,16104
"words",16029,16029
"stuff",16023,16023
"means",16012,16012
"share",15951,15951
"running",15938,15938
"hot",15906,15906
"former",15900,15900
"behind",15800,15800
"seems",15781,15781
"outside",15762,15762
"song",15748,15748
"buy",15722,15722
"problem",15714,15714
"men",15708,15708
"heard",15675,15675
"meet",15656,15656
"quite",15589,15589
"college",15580,15580
"april",15541,15541
"event",15510,15510
"light",15483,15483
"talking",15475,15475
"books",15417,15417
"project",15387,15387
"reading",15368,15368
"whether",15368,15368
"third",15319,15319
"either",15307,15307
"deal",15305,15305
"board",15304,15304
"mom",15298,15298
"turn",15242,15242
"enjoy",15235,15235
"experience",15227,15227
"writing",15198,15198
"wrong",15185,15185
"future",15158,15158
"tweet",15152,15152
"social",15146,15146
"hour",15088,15088
"six",15073,15073
"ok",15050,15050
"information",15033,15033
"gets",14964,14964
"question",14961,14961
"system",14942,14942
"knew",14930,14930
"video",14830,14830
"film",14777,14777
"york",14745,14745
"history",14703,14703
"perfect",14668,14668
"easy",14660,14660
"university",14649,14649
"feeling",14610,14610
"order",14607,14607
"art",14596,14596
"short",14592,14592
"reason",14573,14573
"front",14543,14543
"sorry",14527,14527
"beer",14513,14513
"thursday",14499,14499
"woman",14487,14487
"members",14482,14482
"rather",14447,14447
"sleep",14376,14376
"goes",14355,14355
"market",14230,14230
"body",14207,14207
"rest",14190,14190
"given",14168,14168
"tuesday",14167,14167
"meeting",14117,14117
"moment",14077,14077
"south",14064,14064
"san",14018,14018
"girls",13953,13953
"green",13949,13949
"guess",13923,13923
"matter",13903,13903
"gave",13877,13877
"living",13874,13874
"chance",13860,13860
"points",13839,13839
"large",13820,13820
"mother",13810,13810
"especially",13807,13807
"across",13786,13786
"child",13778,13778
"needed",13715,13715
"sweet",13661,13661
"bill",13655,13655
"media",13653,13653
"eat",13587,13587
"parents",13581,13581
"fall",13542,13542
"among",13533,13533
"final",13523,13523
"played",13503,13503
"death",13479,13479
"town",13474,13474
"coach",13460,13460
"felt",13442,13442
"building",13434,13434
"b",13293,13293
"fans",13259,13259
"single",13250,13250
"pick",13240,13240
"mr",13231,13231
"cause",13218,13218
"decided",13214,13214
"starting",13164,13164
"wants",13137,13137
"spring",13100,13100
"known",13088,13088
"lead",13029,13029
"taken",12990,12990
"walk",12964,12964
"fire",12930,12930
"near",12924,12924
"march",12916,12916
"north",12887,12887
"states",12877,12877
"welcome",12859,12859
"store",12844,12844
"officials",12829,12829
"glad",12802,12802
"available",12781,12781
"break",12738,12738
"shot",12702,12702
"write",12698,12698
"learn",12688,12688
"wednesday",12648,12648
"self",12637,12637
"won",12590,12590
"tax",12575,12575
"tv",12560,12560
"online",12531,12531
"although",12523,12523
"federal",12515,12515
"players",12509,12509
"visit",12496,12496
"gone",12469,12469
"within",12454,12454
"director",12427,12427
"crazy",12409,12409
"added",12390,12390
"dinner",12369,12369
"rock",12366,12366
"drive",12364,12364
"possible",12362,12362
"district",12347,12347
"report",12330,12330
"west",12325,12325
"obama",12301,12301
"bed",12299,12299
"happen",12294,12294
"field",12290,12290
"tried",12249,12249
"card",12233,12233
"son",12188,12188
"understand",12179,12179
"lives",12175,12175
"inside",12168,12168
"record",12160,12160
"hair",12088,12088
"major",12088,12088
"department",12063,12063
"works",12031,12031
"level",12010,12010
"process",11960,11960
"sense",11953,11953
"turned",11950,11950
"space",11940,11940
"boy",11926,11926
"super",11923,11923
"paper",11891,11891
"site",11869,11869
"loved",11805,11805
"church",11804,11804
"eyes",11799,11799
"round",11798,11798
"seeing",11763,11763
"wow",11741,11741
"issue",11735,11735
"interesting",11683,11683
"sounds",11677,11677
"low",11640,11640
"strong",11639,11639
"funny",11637,11637
"air",11632,11632
"per",11627,11627
"spent",11605,11605
"n",11569,11569
"takes",11568,11568
"happened",11525,11525
"worth",11495,11495
"christmas",11478,11478
"r",11474,11474
"age",11458,11458
"email",11453,11453
"looked",11447,11447
"wonderful",11410,11410
"cost",11406,11406
"worked",11368,11368
"trip",11364,11364
"general",11347,11347
"facebook",11314,11314
"send",11308,11308
"waiting",11279,11279
"middle",11269,11269
"definitely",11259,11259
"wife",11238,11238
"star",11237,11237
"page",11232,11232
"e",11226,11226
"control",11174,11174
"huge",11150,11150
"ya",11127,11127
"yesterday",11079,11079
"picture",11070,11070
"jobs",11053,11053
"giving",11047,11047
"shows",11031,11031
"questions",10961,10961
"wanna",10950,10950
"ohio",10936,10936
"o",10925,10925
"blue",10903,10903
"clear",10878,10878
"energy",10877,10877
"hold",10867,10867
"lots",10860,10860
"plans",10849,10849
"schools",10841,10841
"war",10826,10826
"club",10791,10791
"nearly",10788,10788
"longer",10787,10787
"conference",10784,10784
"human",10749,10749
"ur",10746,10746
"c",10745,10745
"ones",10744,10744
"political",10725,10725
"fan",10715,10715
"recent",10691,10691
"recently",10687,10687
"create",10674,10674
"education",10627,10627
"fine",10566,10566
"services",10551,10551
"race",10541,10541
"likely",10538,10538
"washington",10531,10531
"finished",10516,10516
"bar",10489,10489
"weather",10480,10480
"door",10470,10470
"personal",10462,10462
"chicago",10455,10455
"continue",10419,10419
"dog",10409,10409
"act",10406,10406
"challenge",10402,10402
"brown",10387,10387
"ball",10357,10357
"goal",10354,10354
"began",10344,10344
"seem",10278,10278
"t",10267,10267
"father",10258,10258
"lunch",10257,10257
"co",10248,10248
"stand",10246,10246
"issues",10234,10234
"career",10194,10194
"style",10192,10192
"wine",10185,10185
"held",10174,10174
"hands",10173,10173
"coffee",10154,10154
"dont",10121,10121
"band",10067,10067
"simply",10014,10014
"return",9995,9995
"sent",9990,9990
"met",9984,9984
"sound",9980,9980
"cover",9978,9978
"decision",9967,9967
"campaign",9934,9934
"perhaps",9922,9922
"america",9918,9918
"player",9916,9916
"include",9910,9910
"dead",9907,9907
"sign",9869,9869
"step",9866,9866
"cleveland",9833,9833
"cold",9824,9824
"price",9811,9811
"usually",9781,9781
"jersey",9772,9772
"a.m",9771,9771
"p",9764,9764
"ways",9760,9760
"luck",9746,9746
"join",9745,9745
